PdfType: replica
Format: lhagrid1
---
2.34991677440000e+10 9.23817164800000e+10
2.29593538560000e+10 9.02588579840000e+10
2.29593538560000e+10 9.02588579840000e+10
2.24319856640000e+10 8.81848074240000e+10
2.24319856640000e+10 8.81848074240000e+10
2.19167293440000e+10 8.61583933440000e+10
2.19167293440000e+10 8.61583933440000e+10
2.14132695040000e+10 8.41785589760000e+10
2.14132695040000e+10 8.41785589760000e+10
2.09213972480000e+10 8.22442147840000e+10
2.09213972480000e+10 8.22442147840000e+10
2.04408360960000e+10 8.03542712320000e+10
2.04408360960000e+10 8.03542712320000e+10
1.99713280000000e+10 7.85078190080000e+10
1.99713280000000e+10 7.85078190080000e+10
1.95125637120000e+10 7.67037685760000e+10
1.95125637120000e+10 7.67037685760000e+10
1.90643691520000e+10 7.49411696640000e+10
1.90643691520000e+10 7.49411696640000e+10
1.86264780800000e+10 7.32190801920000e+10
